Time (us),Altitude (m),Velocity (m/s),Acceleration (m/s²),Air temperature (°C),Air pressure (mbar)
0,0,0,75.14,15,1013.2
0.01,0.003757,0.7514,253.68,15,1013.2
0.02,0.023962,3.2898,359.96,15,1013.2
0.03,0.074874,6.8935,379.85,15,1013.2
0.04,0.16282,10.697,386.66,14.999,1013.2
0.049348,0.27974,14.317,388.5,14.998,1013.2
0.056333,0.38921,17.03,392.6,14.997,1013.2
0.062205,0.49598,19.335,399.6,14.997,1013.2
0.067377,0.60132,21.401,406.13,14.996,1013.2
0.07205,0.70576,23.299,409.02,14.995,1013.2
0.076342,0.80953,25.056,411.13,14.995,1013.2
0.080333,0.9128,26.697,414.3,14.994,1013.1
0.084078,1.0157,28.249,418.07,14.993,1013.1
0.089697,1.181,30.604,422.69,14.992,1013.1
0.098125,1.454,34.172,425.15,14.991,1013.1
0.11077,1.92,39.561,430.72,14.988,1013
0.12973,2.7479,47.755,435.03,14.982,1012.9
0.15817,4.2831,60.21,445.72,14.972,1012.7
0.20084,7.2594,79.317,448.74,14.953,1012.4
0.25084,11.789,101.87,451.23,14.923,1011.9
0.30084,17.449,124.54,452.01,14.887,1011.2
0.35084,24.243,147.22,450.04,14.842,1010.4
0.40084,32.168,169.79,441.75,14.791,1009.5
0.43932,39.031,186.87,429.79,14.746,1008.7
0.47111,45.188,200.59,412.63,14.706,1008
0.51106,53.531,216.99,386.92,14.652,1007
0.56106,64.862,236.18,359.05,14.578,1005.6
0.59213,72.374,247.44,346.15,14.53,1004.8
0.62078,79.605,257.41,43.69,14.483,1003.9
0.66375,90.706,259.27,-66.666,14.41,1002.6
0.71375,103.59,255.98,-66.982,14.327,1001.1
0.75605,114.36,253.18,-65.396,14.257,999.84
0.80605,126.94,249.96,-63.631,14.175,998.36
0.85605,139.35,246.82,-62.007,14.094,996.91
0.90605,151.62,243.75,-60.482,14.014,995.47
0.95605,163.73,240.77,-59.001,13.936,994.05
1.0061,175.7,237.85,-57.535,13.858,992.64
1.0561,187.52,235.01,-56.156,13.781,991.26
1.1061,199.2,232.24,-54.864,13.705,989.89
1.1561,210.74,229.53,-53.635,13.63,988.53
1.2061,222.15,226.87,-52.458,13.556,987.2
1.2561,233.43,224.28,-51.285,13.483,985.87
1.3061,244.58,221.74,-50.16,13.41,984.56
1.3561,255.61,219.26,-49.102,13.339,983.27
1.4061,266.51,216.83,-48.104,13.268,981.99
1.4561,277.29,214.45,-47.143,13.198,980.73
1.5061,287.95,212.12,-46.185,13.128,979.48
1.5561,298.5,209.83,-45.256,13.06,978.24
1.6061,308.94,207.59,-44.375,12.992,977.02
1.6561,319.26,205.39,-43.534,12.925,975.81
1.7061,329.48,203.24,-42.721,12.858,974.61
1.7561,339.59,201.12,-41.938,12.793,973.42
1.8061,349.59,199.04,-41.187,12.728,972.25
1.8561,359.49,197,-40.448,12.663,971.09
1.9061,369.29,195,-39.719,12.6,969.94
1.9561,378.99,193.03,-39.018,12.537,968.8
2.0061,388.6,191.1,-38.353,12.474,967.67
2.0561,398.1,189.19,-37.715,12.412,966.56
2.1061,407.52,187.32,-37.1,12.351,965.46
2.1561,416.84,185.48,-36.488,12.291,964.36
2.2061,426.06,183.67,-35.892,12.231,963.28
2.2561,435.2,181.9,-35.312,12.171,962.21
2.3061,444.25,180.14,-34.761,12.112,961.15
2.3561,453.22,178.42,-34.23,12.054,960.1
2.4061,462.1,176.72,-33.706,11.996,959.05
2.4561,470.89,175.05,-33.191,11.939,958.02
2.5061,479.6,173.4,-32.7,11.883,957
2.5561,488.23,171.78,-32.227,11.826,955.99
2.6061,496.78,170.18,-31.754,11.771,954.99
2.6561,505.25,168.6,-31.292,11.716,954.02
2.7061,513.64,167.05,-30.848,11.661,953.08
2.7561,521.95,165.52,-30.424,11.607,952.16
2.8061,530.19,164.01,-30.012,11.554,951.24
2.8561,538.36,162.52,-29.614,11.501,950.32
2.9061,546.44,161.04,-29.215,11.448,949.42
2.9561,554.46,159.59,-28.824,11.396,948.52
3.0061,562.4,158.16,-28.441,11.344,947.64
3.0561,570.28,156.75,-28.068,11.293,946.76
3.1061,578.08,155.36,-27.711,11.242,945.88
3.1561,585.81,153.98,-27.363,11.192,945.02
3.2061,593.48,152.62,-27.023,11.142,944.16
3.2561,601.07,151.28,-26.69,11.093,943.32
3.3061,608.61,149.95,-26.372,11.044,942.47
3.3561,616.07,148.64,-26.054,10.996,941.64
3.4061,623.47,147.34,-25.742,10.947,940.81
3.4561,630.8,146.06,-25.43,10.9,939.99
3.5061,638.08,144.8,-25.132,10.853,939.18
3.5561,645.29,143.55,-24.843,10.806,938.38
3.6061,652.43,142.32,-24.568,10.759,937.58
3.6561,659.52,141.09,-24.299,10.713,936.79
3.7061,666.54,139.89,-24.034,10.667,936
3.7561,673.51,138.69,-23.776,10.622,935.22
3.8061,680.41,137.51,-23.51,10.577,934.45
3.8561,687.26,136.34,-23.244,10.533,933.69
3.9061,694.04,135.18,-22.99,10.489,932.93
3.9561,700.78,134.04,-22.742,10.445,932.18
4.0061,707.45,132.91,-22.506,10.402,931.43
4.0561,714.07,131.79,-22.28,10.359,930.69
4.1061,720.63,130.68,-22.063,10.316,929.96
4.1561,727.13,129.58,-21.857,10.274,929.23
4.2061,733.59,128.5,-21.64,10.232,928.51
4.2561,739.98,127.42,-21.43,10.19,927.8
4.3061,746.33,126.35,-21.215,10.149,927.09
4.3561,752.62,125.3,-20.997,10.108,926.38
4.4061,758.86,124.25,-20.791,10.067,925.69
4.4561,765.05,123.22,-20.597,10.027,925
4.5061,771.18,122.19,-20.396,9.9873,924.31
4.5561,777.27,121.18,-20.206,9.9478,923.63
4.6061,783.3,120.17,-20.021,9.9086,922.96
4.6561,789.28,119.18,-19.836,9.8697,922.29
4.7061,795.22,118.19,-19.661,9.8311,921.63
4.7561,801.1,117.21,-19.488,9.7928,920.97
4.8061,806.94,116.24,-19.325,9.7549,920.32
4.8561,812.73,115.28,-19.165,9.7173,919.67
4.9061,818.47,114.32,-19.017,9.68,919.03
4.9561,824.16,113.38,-18.856,9.643,918.39
5.0061,829.8,112.44,-18.689,9.6063,917.76
5.0561,835.4,111.51,-18.519,9.5699,917.14
5.1061,840.95,110.59,-18.358,9.5338,916.52
5.1561,846.46,109.67,-18.201,9.498,915.9
5.2061,851.92,108.77,-18.048,9.4625,915.29
5.2561,857.34,107.87,-17.907,9.4273,914.68
5.3061,862.71,106.97,-17.768,9.3924,914.08
5.3561,868.04,106.09,-17.634,9.3578,913.49
5.4061,873.32,105.21,-17.501,9.3234,912.9
5.4561,878.56,104.34,-17.375,9.2894,912.31
5.5061,883.75,103.47,-17.242,9.2556,911.73
5.5561,888.9,102.62,-17.111,9.2221,911.16
5.6061,894.01,101.76,-16.982,9.1889,910.59
5.6561,899.08,100.92,-16.846,9.156,910.02
5.7061,904.11,100.08,-16.719,9.1233,909.46
5.7561,909.09,99.245,-16.593,9.0909,908.9
5.8061,914.03,98.419,-16.471,9.0588,908.35
5.8561,918.93,97.598,-16.354,9.027,907.8
5.9061,923.79,96.783,-16.24,8.9954,907.26
5.9561,928.61,95.974,-16.129,8.964,906.72
6.0061,933.39,95.17,-16.024,8.933,906.19
6.0561,938.13,94.372,-15.92,8.9022,905.66
6.1061,942.82,93.578,-15.814,8.8716,905.13
6.1561,947.48,92.79,-15.706,8.8414,904.61
6.2061,952.1,92.008,-15.604,8.8113,904.1
6.2561,956.68,91.23,-15.502,8.7815,903.59
6.3061,961.23,90.457,-15.397,8.752,903.08
6.3561,965.73,89.69,-15.295,8.7228,902.57
6.4061,970.2,88.928,-15.198,8.6937,902.08
6.4561,974.62,88.17,-15.1,8.6649,901.58
6.5061,979.01,87.418,-15.003,8.6364,901.09
6.5561,983.37,86.67,-14.907,8.6081,900.6
6.6061,987.68,85.927,-14.812,8.5801,900.12
6.6561,991.96,85.189,-14.723,8.5523,899.64
6.7061,996.2,84.455,-14.638,8.5247,899.17
